编号,构图,光源数量,光源位置,光的质量,光的色彩,景别类型,景深范围,饱和度,亮度,色温,对比度,Prompt,en_prompt
T014,对称构图,,顺光,,白光,中景,深景深,,,,中,极光在夜空中舞动，远景展现天地全貌，三分法构图划分天空与雪地，多光源（极光+月光）形成冷色调彩色光，亮度暗，饱和度高。,"The aurora dances in the night sky, with a distant view revealing the full expanse of heaven and earth. The rule of thirds composition divides the sky from the snow-covered ground. Multiple light sources (aurora and moonlight) create a cold-toned colorful glow with low brightness but high saturation."
T015,框架构图,单光源,侧光,硬光,,远景,,,,冷,,潜水员在深海中游动，侧光来自手电筒，单光源形成硬光束，框架构图（以潜水艇窗口为框），远景拍摄，色温冷。,"A diver swims in the deep sea with side lighting from a flashlight, creating a hard beam of light from a single source. The scene is framed through a submarine window and shot at a distance, with a cool color temperature."
T016,引导线构图,,顶光,软光,,全景,,高,亮,,,儿童在草地上奔跑，采用引导线构图（小路延伸），顶光来自正午太阳，软光扩散，全景视角，亮度亮，饱和度高。,"Children are running on the grass, with leading lines composition (the path extends), and overhead lighting from the midday sun, soft light diffused. The scene is captured in a wide-angle shot, with high brightness and saturation."
T017,中心构图,单光源,,,暖光,近景,浅景深,,,暖,,老式台灯照亮书桌，单光源形成暖光，中心构图突出书本，近景拍摄，浅景深虚化背景，色温暖。,"An old-fashioned desk lamp illuminates the desk, casting a warm glow from its single light source. The composition centers on a book, with a close-up shot and a shallow depth of field that blurs the background, enhancing the warm atmosphere."
T018,非对称构图,多光源,,,白光,中景,,,,,中,城市立交桥夜景，多光源来自车灯与路灯，非对称构图表现交错结构，冷白光交织，中景视角，对比度中等。,"The night view of an urban overpass, with multiple light sources from car headlights and street lamps, features an asymmetrical composition highlighting the intersecting structures. The cool white light interweaves, presented from a mid-range perspective with moderate contrast."
T019,三分法构图,,顺光,,,远景,深景深,,亮,,,瀑布从高处倾泻，远景展现全貌，三分法构图安排瀑布位置，顺光照明使水花明亮，深景深，亮度亮。,"The waterfall cascades from a height, with the long shot revealing its full scope. The waterfall is positioned using the rule of thirds, and front lighting highlights the splashing water. With a deep depth of field, the scene is bright and vivid."
T020,非对称构图,,底光,硬光,,特写,,低,,,,模特在影棚拍摄，底光从下方打来制造阴影，硬光增强立体感，特写面部，非对称构图，饱和度低，突出质感。,"The model is being photographed in a studio with low-key lighting coming from below to create shadows. Harsh lighting is used to enhance the three-dimensional effect. The shot focuses closely on the face, using an asymmetrical composition, with low saturation to emphasize texture."
T021,中心构图,,逆光,,冷光,近景,,,,,高,日落时分，海滩上情侣剪影位于画面中央，逆光勾勒轮廓，中心构图，冷色调光晕，近景，对比度高。,"At sunset, the silhouettes of couples on the beach are centered in the frame, their outlines defined by backlighting. The central composition features a cool-toned halo and a high contrast foreground."
T022,对称构图,,顺光,软光,,全景,深景深,,,中,,森林晨雾中，小屋对称坐落于湖边，软光透过雾气形成柔和照明，全景视角，深景深，色温中性。,"In the morning mist of the forest, a cottage is symmetrically situated by the lakeside. Soft light filters through the fog, creating a gentle illumination. The scene offers a panoramic view with deep depth of field and neutral color temperature."
T023,引导线构图,多光源,,,彩色光,中景,,高,亮,,,派对现场，霓虹灯、闪光灯制造彩色光效果，采用引导线构图（走廊延伸），中景拍摄人群，亮度亮，饱和度高。,"At the party venue, neon lights and flashlights create colorful lighting effects. Using leading lines composition (such as a corridor extending into the distance), the mid-ground captures the crowd with high brightness and saturation."
T024,,,顶光,硬光,,特写,浅景深,,,冷,中,实验室显微镜下，顶光直射样本，硬光突出纹理，特写镜头，浅景深聚焦局部，对比度中等，色温冷。,"Under the microscope in the laboratory, direct top lighting illuminates the sample, with harsh light highlighting the texture. A close-up lens is used with a shallow depth of field to focus on a specific area. The contrast is moderate, and the color temperature is cool."
T025,框架构图,单光源,侧光,,,中景,,,中,,,城市天桥上，行人被侧光拉出长影，单光源（夕阳），框架构图（栏杆为框），中景，白光偏暖，亮度中。,"On the city overpass, pedestrians cast long shadows due to side lighting. With a single light source (the setting sun), the framework composition uses the railing as a frame. The scene is mid-shot, with white light tending warm and medium brightness."
T026,对称构图,多光源,,,暖光,全景,深景深,中,,,,婚礼现场，多光源（吊灯、烛光）营造暖光氛围，对称构图布置花坛，全景拍摄，深景深，饱和度中等。,"At the wedding venue, multiple light sources such as chandeliers and candlelight create a warm atmosphere. The flower arrangements are symmetrically composed, and a full-scene shot with deep depth of field and medium saturation is taken."
T027,三分法构图,,顺光,,白光,近景,,,,,低,雨后街道倒影清晰，采用三分法构图安排倒影与建筑，顺光照明带来白光，近景视角，对比度低，色温中性。,"The streets after the rain reflect clearly. Using the rule of thirds to compose the reflection and buildings, the front lighting provides bright white light. The perspective is close-up, with low contrast and neutral color temperature."
T028,中心构图,单光源,底光,硬光,冷光,特写,,低,,,,舞台魔术师站在中央，底光制造神秘感，单光源硬光，中心构图，特写，冷色调光，饱和度低。,"The stage magician stands at the center, with low-key lighting creating an aura of mystery. The single light source casts hard light, centered in the frame, in close-up, with cool tones and low saturation."
T029,引导线构图,,逆光,软光,,远景,,,,,中,沙漠日出，远景展现沙丘起伏，引导线构图（沙纹延伸），逆光勾勒轮廓，软光扩散，亮度暗转亮，对比度中等。,"Desert sunrise, with distant sand dunes undulating in the view, using leading lines composition (sand patterns extending), rim lighting due to backlighting, soft light diffusing, brightness transitioning from dark to light, and medium contrast."
T030,非对称构图,,侧光,,,近景,浅景深,,,暖,,咖啡馆角落，窗边侧光柔和洒入，非对称构图安排人物与空椅，近景拍摄，浅景深虚化背景，色温暖，饱和度中。,"In the corner of a café, soft sidelight from the window gently fills the scene. The composition is asymmetrical, with a person and an empty chair arranged in the foreground, slightly blurred background creating a shallow depth of field, warm colors, and medium saturation."
T031,对称构图,,顺光,软光,,全景,深景深,,,,,古寺清晨，对称构图展现殿宇与倒影，顺光均匀照亮屋檐，软光减少阴影，全景视角呈现完整建筑群，画面具有深景深，远处山峦清晰可见。,"In the early morning of an ancient temple, a symmetrical composition showcases the palace and its reflection. The front lighting evenly illuminates the eaves, soft light reduces shadows, and a wide-angle view presents the entire complex. The scene has a deep depth of field, with distant mountains clearly visible."
T032,非对称构图,多光源,,,冷光,中景,,,,,高,城市高架桥夜景采用非对称构图，车流灯光形成多光源动态轨迹，冷色调光线弥漫空中，中景拍摄桥体结构，整体对比度高，明暗分明。,"The night view of the city's elevated bridge uses an asymmetrical composition. The headlights of the vehicles create multiple dynamic light trails. Cool-toned lights fill the air. The mid-range shot focuses on the structure of the bridge, with a high overall contrast and distinct highlights and shadows."
T033,三分法构图,,逆光,,白光,远景,,中,,,,草原上的牧民骑马远行，使用三分法构图将地平线置于下三分之一，逆光勾勒人物剪影，白光混合晚霞，远景展现天地辽阔，饱和度中等。,"Herders on the grassland ride horses to travel far, using the rule of thirds to place the horizon at the lower third of the frame. Backlit by the sun, the figures are outlined as silhouettes. The white light blends with the evening glow, and the distant view showcases the vast expanse of heaven and earth. The saturation is medium."
T034,中心构图,,顶光,硬光,,近景,,,,冷,,实验室研究员面对镜头居中站立，中心构图突出主体，顶光直射造成轻微阴影，硬光增强面部轮廓，近景拍摄，色温偏冷，体现科技感。,"The lab researcher stands centrally in front of the camera, with the central composition highlighting the subject. Direct top lighting creates slight shadows, and the hard light accentuates the facial contours. The close-up shot, with a cooler color temperature, conveys a sense of technological sophistication."
T035,框架构图,单光源,侧光,,,特写,浅景深,,中,,,隧道入口形成天然框架构图，侧光从侧面照射行人，单光源来自斜射阳光，特写其表情，浅景深虚化背景，亮度中等，氛围紧张。,"The tunnel entrance forms a natural frame, with side light illuminating passersby from the side. The single light source is slanted sunlight. A close-up of their expressions is captured, with a shallow depth of field blurring the background. The brightness is moderate, creating a tense atmosphere."
T036,引导线构图,,底光,,彩色光,全景,深景深,,,,中,铁轨延伸至远方构成强烈引导线构图，底光来自地下检修灯，发出彩色光芒，全景展示轨道全貌，深景深贯穿前后，对比度中等。,"The railway tracks extend into the distance, forming strong leading lines. The fill light comes from underground maintenance lamps, casting colorful glows. The wide shot showcases the full appearance of the tracks, with deep depth of field from front to back and medium contrast."
T037,对称构图,多光源,,,暖光,中景,,低,,,,雪地营地帐篷呈左右对称布局，多光源来自篝火与头灯，暖光交织跳跃，中景拍摄团队活动，饱和度低，还原冬日清冷质感。,"The snow camp tent is symmetrically laid out from left to right, with multiple light sources coming from the campfire and headlamps, casting warm, dancing lights. The mid-ground captures the activities of the filming team with low saturation, evoking the cold atmosphere of winter."
T038,中心构图,单光源,逆光,硬光,,特写,,,亮,,,舞者在聚光灯下单脚旋转，单光源形成强烈硬光投影，逆光凸显轮廓动态，使用中心构图聚焦身体，特写捕捉足尖细节，亮度亮。,"The dancer spins on one foot under the spotlight, with the single light source creating a strong, hard shadow that highlights the outline of their dynamic movements. The central composition focuses on the body, and a close-up captures the details of the toe, with the brightness being very high."
T039,引导线构图,,顺光,软光,,远景,,,,中,,老城区巷道以引导线构图引导视线深入，顺光洒满石板路，软光使纹理柔和，远景展现代建筑纵深，色温中性，真实还原日间光照。,"The alleys in the old town use leading lines to guide the gaze deeper inward, with sunlight filling the cobblestone paths. Soft lighting makes the textures gentle, while modern buildings in the distance showcase depth. The color temperature is neutral, faithfully reproducing daylight conditions."
T040,非对称构图,多光源,,,彩色光,近景,,,,,低,节日庙会灯笼高挂，形成多光源照明系统，彩色光交叠闪烁，非对称构图安排摊位分布，近景拍摄孩童笑脸，对比度低，营造梦幻氛围。,"Festival temple fair lanterns are hung high, forming a multi-source lighting system. Colorful lights flicker and overlap, with an asymmetric layout arranging the stalls. A close-up shot of a child's smiling face is taken, with low contrast to create a dreamlike atmosphere."
T041,框架构图,,顶光,,白光,全景,深景深,,,,,山顶观星台采用框架构图（以圆顶开口为框），顶光来自内部设备指示灯，白光微弱，全景展现天文台全貌，深景深涵盖内外空间。,"The star observation deck at the mountain top uses a framed composition (with the dome opening as the frame). The top light comes from internal equipment indicator lights, emitting a faint white glow. The panoramic view showcases the full appearance of the observatory, while the deep depth of field encompasses both the interior and exterior spaces."
T042,中心构图,单光源,底光,硬光,,特写,,高,,,,潜水员探照灯照亮沉船内部，单光源产生硬光束，底光向上照射珊瑚，中心构图突出遗迹主体，特写残破雕像，饱和度高，色彩鲜艳。,"The diver's spotlight illuminates the interior of the sunken ship, producing a hard beam of light from a single source. The bottom light shines upward on the coral, with the central composition highlighting the main structure of the ruins. A close-up of the broken statue shows rich saturation and vivid colors."
T043,三分法构图,,侧光,,暖光,中景,,,中,,,沙漠驼队沿沙丘前行，三分法构图安排队伍于右三分之一线，侧光拉长影子，暖光渲染黄昏气氛，中景拍摄群体动态，亮度中等。,"A desert caravan moves across the sand dunes. The rule of thirds is applied, placing the group along the right third line. Side lighting elongates the shadows, and warm light enhances the atmosphere of twilight. The middle distance captures the dynamics of the group, with medium brightness."
T044,,,顶光,软光,,远景,深景深,,,中,,雨林树冠层被正午阳光穿透，顶光形成斑驳光影，软光散射在叶片间，远景俯拍整片森林，深景深保持前后清晰，色温中性。,"Noon sunlight penetrates the canopy of the rainforest, creating dappled shadows. Soft light scatters among the leaves, and a distant aerial shot captures the entire forest with deep focus, keeping both foreground and background clear. The color temperature is neutral."
T045,非对称构图,单光源,逆光,硬光,,近景,,,,,高,舞台追光灯锁定主角，单光源提供硬光照明，逆光勾勒发丝光泽，非对称构图留出戏剧性空白，近景表现情绪变化，对比度高。,"The spotlight locks onto the main character, with a single light source providing hard lighting. Backlighting highlights the shine of the hair, and an asymmetrical composition leaves dramatic blank spaces. Close-ups capture emotional changes, with high contrast."
T046,对称构图,,顺光,,白光,全景,,中,,,,玻璃幕墙大楼在夕阳下反射金光，对称构图强调建筑秩序，顺光使表面明亮无阴影，白光与暖光混合，全景拍摄城市天际线，饱和度中。,"The glass curtain wall building reflects golden light under the setting sun. The symmetrical composition emphasizes architectural order, and the front lighting makes the surface bright with no shadows. A mix of white and warm light is captured in a panoramic shot of the city skyline with medium saturation."
T047,框架构图,多光源,,,冷光,中景,浅景深,,,冷,,地铁车厢内广告灯箱形成多光源环境，冷光为主调，框架构图以车窗为边界，中景拍摄乘客互动，浅景深模糊移动背景，色温冷。,"The subway car interior features multiple light sources from advertising light boxes, with cool lighting as the main tone. The framing is bounded by the windows, with mid-range shots capturing passenger interactions. A shallow depth of field blurs the moving background, and the color temperature is cool."
T048,中心构图,,侧光,软光,,近景,,,亮,,,婚礼仪式中新人站在花门中央，中心构图强化情感焦点，侧光柔和照亮脸庞，软光避免过强阴影，近景拍摄牵手瞬间，亮度亮。,"During the wedding ceremony, the bride and groom stand at the center of the flower arch, with the central composition emphasizing the emotional focal point. Soft side lighting gently illuminates their faces, and soft light avoids harsh shadows. A close-up captures the moment they hold hands, with good brightness."
T049,引导线构图,多光源,,,彩色光,远景,,,,,中,高速公路夜间航拍，引导线构图沿车道延伸，多光源来自连续车灯流，彩色光交织成光轨，远景展现交通脉络，对比度中等。,"Nighttime aerial footage of a highway, with leading lines extending along the lanes, and multiple light sources from a continuous stream of car headlights interweaving into light trails. The distant view showcases the traffic network with moderate contrast."
T050,三分法构图,,逆光,硬光,,特写,,低,,,,摄影棚内模特背对强光源站立，逆光制造剪影效果，三分法构图安排身形比例，硬光增强边缘锐度，特写头部轮廓，饱和度低。,"The model stands with her back to the strong light source inside the studio, creating a silhouette effect against the backlight. The composition follows the rule of thirds for body proportion, and the hard light accentuates the sharpness of the edges. A close-up focuses on the outline of her head, with low color saturation."
T051,框架构图,,底光,,暖光,全景,深景深,,,暖,,剧院包厢以木质窗框形成框架构图，底光来自舞台反照，暖色调漫射室内，全景拍摄观众席，深景深记录层次，色温偏暖。,"The theater box is framed by wooden window frames, with uplighting from the reflections off the stage casting a warm, diffused glow throughout the space. A wide shot of the audience captures the deep depth of field, recording layers of detail, with a warmer color temperature."
T052,非对称构图,,顺光,,白光,中景,,,,,高,街头涂鸦墙色彩浓烈，非对称构图安排图案错落，顺光充分照亮墙面细节，白光还原真实颜色，中景拍摄创作过程，对比度高。,"The vibrant graffiti wall features a colorful, asymmetrical composition with intricate patterns. The strong light source illuminates the details of the wall, while white light accurately reproduces the true colors. The middle shot captures the creative process, showcasing high contrast."
T053,中心构图,单光源,,,暖光,近景,浅景深,,,,,星空下的露营帐篷居于画面正中，中心构图强化安定感，单光源来自帐篷内灯，发出暖光，近景拍摄，浅景深虚化星空背景。,"The camping tent under the starry sky is centered in the frame, emphasizing stability with this central composition. The single light source comes from a lamp inside the tent, casting warm light. Shot up close, the shallow depth of field blurs the starry background."
T054,三分法构图,多光源,,,彩色光,远景,,,中,,,清晨菜市场人声鼎沸，多光源来自顶灯与摊位灯串，彩色光点缀水果摊，三分法构图安排人流走向，远景展现市井活力，亮度中。,"The morning market is bustling with noise, and the lighting comes from overhead lamps and strings of lights at stalls, with colorful lights highlighting the fruit stands. The flow of people is arranged according to the rule of thirds, and the long shot displays the vitality of the local scene with medium brightness."
T055,对称构图,,顶光,硬光,,全景,,高,,,,瀑布从悬崖倾泻而下，对称构图展现水流对称形态，顶光直射水面激起反光，硬光突出水珠飞溅，全景拍摄，饱和度高。,"The waterfall cascades down the cliff, with a symmetrical composition showcasing the symmetry of the water flow. Direct sunlight hitting the water surface creates reflections, and the harsh light highlights the splashing water droplets. The panoramic shot has high saturation."
T056,中心构图,单光源,侧光,硬光,,特写,,,,,高,拳击手在擂台上被聚光灯锁定，单光源形成强烈硬光，侧光雕刻肌肉线条，中心构图突出对抗姿态，特写挥拳瞬间，对比度高。,"The boxer is locked in the spotlight on the ring, with a single light source creating intense hard light that carves out his muscle definition from the side. The central composition highlights his confrontational pose, and a close-up captures the moment of punching with high contrast."
T057,引导线构图,,顺光,软光,,,深景深,,,中,,图书馆长廊以书架为引导线构图延伸至尽头，顺光透过天窗洒下，软光覆盖阅读区，深景深保持书架清晰，色温中性，氛围宁静。,"The library corridor extends to the end, guided by bookshelves, with soft light from skylights bathing the reading area. The deep depth of field keeps the bookshelves clear, and the neutral color temperature creates a tranquil atmosphere."
T058,非对称构图,,底光,,彩色光,近景,,,暗,,,万圣节鬼屋入口采用非对称构图制造不安感，底光从下方照射骷髅装饰，彩色光闪烁诡异，近景拍摄访客反应，亮度暗，增强恐怖氛围。,"The entrance to the Halloween haunted house uses an asymmetrical composition to create an unsettling atmosphere. Low lights shine up at skull decorations, while flickering colored lights add to the eerie effect. Close-up shots capture visitors' reactions in the dimly lit setting, enhancing the scary ambiance."
T059,框架构图,多光源,,,冷光,中景,,低,,,,极地科考站夜晚工作，多光源包括探照灯与舱内灯，冷光主导环境，框架构图以门廊为界，中景拍摄队员协作，饱和度低，还原寒冷感。,"Polar research stations work at night under multiple light sources, including searchlights and cabin lights, with cool lighting dominating the environment. The frame is composed using the portico as the boundary, capturing mid-shot footage of team members collaborating, with low saturation to recreate the feeling of coldness."
T060,三分法构图,,逆光,,白光,远景,,,,,低,日出时分湖面倒映朝霞，三分法构图划分水天比例，逆光使船只成剪影，白光与暖光交融，远景展现广阔水域，对比度低，柔和过渡。,"At sunrise, the lake reflects the morning glow, with the rule of thirds dividing the ratio of water and sky. Backlighting turns the boats into silhouettes, blending white light with warm tones. The distant view showcases the vast expanse of water, with low contrast and soft transitions."
T061,对称构图,,顺光,软光,,全景,深景深,,,,,清晨的故宫红墙金瓦在晨雾中对称排列，顺光均匀照亮建筑正面，软光减少阴影层次，全景视角展现宫殿群落，深景深使远景角楼依然清晰。,"The red walls and golden roofs of the Forbidden City stand symmetrically in the morning mist, evenly illuminated by the front light, with soft light reducing shadow layers. A panoramic view showcases the cluster of palaces, and the deep depth of field keeps the distant corner towers clear."
T062,非对称构图,多光源,,,冷光,中景,,,,,中,城市天桥上行人错落分布，采用非对称构图制造视觉张力，多光源来自路灯与手机屏幕光，冷色调照明，中景拍摄动态，对比度中等。,"Pedestrians are scattered across an urban skybridge, with an asymmetrical composition creating visual tension. The lighting is cool-toned, coming from street lamps and smartphone screens. The scene is mid-shot, capturing movement with moderate contrast."
T063,三分法构图,,侧光,,暖光,远景,,高,,,,草原牧羊人驱赶羊群，采用三分法构图将人物置于右三分之一线，侧光拉长影子，暖光渲染黄昏氛围，远景展现广阔草场，饱和度高。,"The herdsman on the grassland drives his flock of sheep. Using the rule of thirds, he is positioned along the right third line. Side lighting elongates the shadows, while warm tones set the mood for the approaching twilight. The distant view showcases the vast grasslands with high color saturation."
T064,中心构图,,顶光,硬光,,特写,,,亮,,,潜水员在海底缓缓上升，身体居于画面中心，中心构图突出主体，顶光从水面穿透而下，硬光形成光柱，特写其呼吸器气泡，亮度亮。,"The diver ascends slowly from the seabed, with their body at the center of the frame. The central composition highlights the main subject. Top lighting penetrates through the water surface, casting hard light that forms a beam. A close-up of the bubbles from the diver's respirator is bright and prominent."
T065,框架构图,单光源,逆光,,,近景,浅景深,,,暖,,老式拱门形成天然框架构图，逆光勾勒门内行走者的剪影，单光源来自门外阳光，近景拍摄轮廓，浅景深虚化背景细节，色温偏暖。,"The old arches form a natural frame, backlighting outlines the silhouettes of those walking inside, with the single light source being the sunlight from outside. The close-up shot captures the contours, and a shallow depth of field blurs the background details, with a warm color temperature."
T066,引导线构图,,底光,,彩色光,全景,,,,,低,铁路道岔区铁轨交错延伸，构成复杂引导线构图，底光来自信号灯，发出彩色光芒，全景展现轨道网络，深景深贯穿前后，对比度低。,"The railway switches extend in a complex web of intersecting tracks, with low-key lighting from colored signal lights adding highlights. The wide shot showcases the track network with deep depth of field from front to back, and features low contrast."
T067,对称构图,多光源,,,暖光,中景,,中,,,,婚礼现场花坛左右对称布置，多光源来自吊灯与蜡烛，暖光交织营造温馨感，中景拍摄新人入场，饱和度中等，色彩柔和。,"The wedding venue features symmetrically arranged flower beds. Multiple light sources, including chandeliers and candles, create a warm atmosphere with soft, interwoven lighting. A medium shot captures the newlyweds entering the scene, with colors that are moderately saturated and gentle."
T068,中心构图,单光源,逆光,硬光,,特写,,,,中,,拳击擂台中央选手出拳，单光源聚光灯直射形成硬光投影，逆光凸显动作轮廓，中心构图聚焦对抗瞬间，特写拳套击打，色温中性。,"In the center of the boxing ring, the fighters throw punches; a single spotlight shines directly, creating hard shadows that outline their movements against the light. The composition centers on the moment of confrontation, with a close-up of the gloves making contact, and the color temperature is neutral."
T069,引导线构图,,顺光,软光,,远景,,,中,,,林间小径蜿蜒向前，引导线构图引导视线深入，顺光洒满落叶地面，软光使光影过渡柔和，远景拍摄尽头光斑，亮度中等。,"The winding forest path leads forward, guiding the viewer's gaze with leading lines. The front lighting illuminates the ground covered in fallen leaves, and soft light makes the transition of light and shadow gentle. The distant shot captures spots of light at the end, with medium brightness."
T070,非对称构图,多光源,,,彩色光,近景,,,,,高,夜市摊位灯光闪烁，多光源构成复杂照明系统，彩色光点缀小吃招牌，非对称构图安排人流，近景拍摄食物特写，对比度高。,"The night market stalls are aglow with flashing lights, creating a complex lighting system from multiple sources. Colorful lights decorate the signs of snacks, and the asymmetric layout directs the flow of people. Up-close shots of the food have high contrast."
T071,框架构图,,顶光,,白光,全景,深景深,,,,,天文台圆顶开启，以金属结构形成框架构图，顶光来自内部仪器指示灯，白光微弱照明，全景展现设备全貌，深景深记录细节层次。,"The observatory dome opens up, with a metal structure forming a framing composition. The top lighting comes from the internal instrument indicator lights, casting a faint white glow that illuminates the entire scene, showcasing the full appearance of the equipment. The deep depth of field captures the details and layers."
T072,,单光源,底光,硬光,,特写,,低,,,,舞者在地下室练习，单光源来自高窗斜射光线，硬光投下强烈影子，底光效果从下方照亮腿部，特写旋转动作，饱和度低，氛围压抑。,"The dancer practices in a basement with a single light source from a high window casting slanted rays. The harsh light creates strong shadows, and the low-key lighting illuminates the legs from below. A close-up of her spinning movement is shown with low saturation, creating an oppressive atmosphere."
T073,三分法构图,,侧光,,冷光,中景,,,,,中,沙漠日落时沙丘线条分明，采用三分法构图安排地平线，侧光雕刻纹理，冷光与暖光混合过渡，中景拍摄光影变化，对比度中等。,"At sunset, the outlines of the sand dunes are distinct. The horizon is positioned using the rule of thirds, with side lighting carving out the textures. The scene blends cool and warm tones, and mid-ground shots capture the play of light and shadow with moderate contrast."
T074,对称构图,,顶光,软光,,远景,,,,中,,正午阳光直射城市广场，顶光造成短影，软光因云层散射而柔和，对称构图拍摄喷泉，远景展现人群活动，色温中性。,"At noon, the direct sunlight hits the city square, casting short shadows due to the overhead light. The soft light, diffused by cloud cover, adds a gentle touch. The fountain is photographed with symmetrical composition, while the distant view shows the activities of the crowd, with neutral color temperature."
T075,非对称构图,单光源,逆光,硬光,,近景,,,暗,,,舞台剧演员背对强光源站立，逆光形成剪影轮廓，单光源产生硬光边缘，非对称构图留出舞台空白，近景表现姿态，亮度暗。,"The stage actor stands with their back to a strong light source, creating a silhouette outline against the backlight. The single light source produces harsh edges, and an asymmetrical composition leaves part of the stage blank. The close-up captures the posture in low brightness."
