ind,prompt,prompt_cn,types,tokens
GQ00037,"A mother pushes a stroller at the mall entrance, smiling down at her child, body slightly leaning forward, wearing a light coat and jeans, stopped beside the automatic door.",一位母亲在商场入口推着婴儿车，低头微笑看着孩子，身体微微前倾，穿着浅色外套和牛仔裤，停在自动门旁。,人生成质量,29
GQ00038,"A student reaches for a book beside the library shelf, with a serious facial expression, wearing a dark blue school uniform dress, body slightly tilted to the left.",一名学生在图书馆书架边伸手取书，面部带着认真神情，穿着深蓝色校服裙，身体微微向左倾斜。,人生成质量,28
GQ00039,"A man types at his office desk, with a slight frown, wearing a white shirt and black blazer, body leaning toward the computer screen.",一位男子在办公室的书桌前双手打字，眉头微微收紧，穿着白衬衫和黑色西装外套，身体向电脑屏幕靠近。,人生成质量,24
GQ00040,"A dancer balances on one leg at the center of the stage, arms gracefully extended, with a confident smile, wearing a black fitted leotard, body slightly rotated.",一名舞者在舞台中央单腿平衡，双臂优雅展开，面带自信的笑容，穿着黑色紧身舞衣，身体微微旋转。,人生成质量,27
GQ00041,"A young man stands on seaside rocks gazing into the distance, his face lit by sunlight, wearing a white T-shirt and shorts, with a relaxed stance and hands in pockets.",一位青年站在海边礁石上眺望远方，脸部被阳光照亮，穿着白色T恤和短裤，身体姿态放松地双手插袋。,人生成质量,30
GQ00042,"A female teacher points to the whiteboard at the podium, with a friendly smile, wearing a light shirt and black skirt, body slightly angled toward the students.",一位女教师在讲台前指向白板，面露亲切笑容，穿着浅色衬衫和黑色裙子，身体姿态略向学生一侧。,人生成质量,27
GQ00043,"A delivery man hands a package at the doorway, with a polite smile, wearing an orange uniform and cap, body standing on the doorstep.",一名快递员在门口递送包裹，面部露出礼貌的微笑，穿着橙色制服和帽子，身体站立在门阶上。,人生成质量,24
GQ00044,"A young woman takes photos with her phone at a concert, face illuminated by stage lights, wearing a black dress, body extending upward.",一位年轻女子在音乐会现场举着手机拍照，面部被灯光映亮，穿着黑色连衣裙，身体姿态向上伸展。,人生成质量,23
GQ00045,"An elderly man stands by the bus stop sign, with a patient expression, wearing a brown coat and gloves, body in a steady waiting posture.",一位老人站在公交车站牌旁，脸上带着耐心的表情，穿着棕色外套和手套，身体姿态稳定等待。,人生成质量,25
GQ00046,"A man lifts dumbbells in the gym, face tense with effort, wearing a sleeveless sports top and shorts, body in a stable standing posture.",一名男子在健身房举哑铃，面部因用力而紧绷，穿着无袖运动背心和短裤，身体姿态稳固站立。,人生成质量,24
GQ00047,"A nurse adjusts a patient’s pillow in the hospital ward, with a gentle smiling face, wearing a light blue nurse’s uniform, body leaning closer to the bed.",一位女护士在医院病房调整病人枕头，面容柔和带笑，穿着浅蓝色护士制服，身体微微前倾靠近床铺。,人生成质量,27
GQ00048,"A boy ties his shoelaces on the playground, face partially hidden as he looks down, wearing a printed T-shirt and shorts, body crouched beside the track.",一名男孩在操场上系鞋带，面部低垂被遮住部分，穿着印花T恤和短裤，身体姿态蹲在跑道边。,人生成质量,26
GQ00049,"A woman reaches out to clink glasses with a friend at a restaurant table, smiling, wearing a white shirt and light-colored skirt, body slightly leaning to the right.",一位女朋友在餐厅的桌旁伸出手与朋友碰杯，面部微笑，穿着白衬衫和淡色裙子，身体姿态略向右倾。,人生成质量,28
GQ00050,The red ball is on the blue cube.,红色的球在蓝色的方块上。,"物体,位置",8
GQ00051,The red ball is under the blue cube.,红色的球在蓝色的方块下。,"物体,位置",8
GQ00052,The red ball is in front of the blue cube.,红色的球在蓝色的方块前面。,"物体,位置",10
GQ00053,The red ball is behind the blue cube.,红色的球在蓝色的方块后面。,"物体,位置",8
GQ00054,The red ball is to the left of the blue cube.,红色的球在蓝色的方块左边。,"物体,位置",11
GQ00055,The red ball is to the right of the blue cube.,红色的球在蓝色的方块右边。,"物体,位置",11
GQ00056,The red ball is directly below the blue cube.,红色的球在蓝色的方块正下方。,"物体,位置",9
GQ00057,The red ball is at the front left of the blue cube.,红色的球在蓝色的方块左前方。,"物体,位置",12
GQ00058,The red ball is at the front right of the blue cube.,红色的球在蓝色的方块右前方。,"物体,位置",12
GQ00059,The red ball is at the back left of the blue cube.,红色的球在蓝色的方块左后方。,"物体,位置",12
GQ00060,The red ball is at the back right of the blue cube.,红色的球在蓝色的方块右后方。,"物体,位置",12
GQ00061,The red ball is in the center of the frame.,红色的球在画面中央。,"物体,位置",10
GQ00062,The red ball is at the top of the frame.,红色的球在画面顶部。,"物体,位置",10
GQ00063,The red ball is at the bottom of the frame.,红色的球在画面底部。,"物体,位置",10
GQ00064,The red ball is on the left side of the frame.,红色的球在画面左侧。,"物体,位置",11
GQ00065,The red ball is on the right side of the frame.,红色的球在画面右侧。,"物体,位置",11
GQ00066,The red ball is in the top left corner of the frame.,红色的球在画面左上角。,"物体,位置",12
GQ00067,The red ball is in the top right corner of the frame.,红色的球在画面右上角。,"物体,位置",12
GQ00068,The red ball is in the bottom left corner of the frame.,红色的球在画面左下角。,"物体,位置",12
GQ00069,The red ball is in the bottom right corner of the frame.,红色的球在画面右下角。,"物体,位置",12
GQ00070,Morning sunlight casting striped shadows through curtains,清晨阳光透过窗帘形成条状影子,光影,7
GQ00071,Sunlight through tree leaves creating dappled patterns on the ground,树叶间的阳光在地面留下斑驳光斑,光影,10
GQ00072,Evening sunlight stretching building shadows,傍晚阳光将楼房影子拉长,光影,5
GQ00073,Clouds covering the sun making shadows fade,云层遮住太阳影子变淡,光影,7
GQ00074,Clouds dispersing and sunlight shining through again,乌云散开阳光重新洒下,光影,7
GQ00075,Shadows shifting as wind moves tree leaves,阴影因风吹树叶摆动而变化,光影,7
GQ00076,Rainbow appearing as sunlight hits raindrops,彩虹在阳光照射雨滴时出现,光影,6
GQ00077,Sunlight reflecting on wet ground after rain,雨后阳光反射在湿润的地面上,光影,7
GQ00078,Desk lamp illuminating book pages with a soft circular glow,台灯照亮书页形成柔和圆形光区,光影,10
GQ00079,Chandelier light shining on the dining table,吊灯光线照在餐桌上,光影,7
GQ00080,Flashlight creating a sharp beam on the wall,手电筒在墙上形成清晰光束,光影,8
GQ00081,Neon lights reflecting colors on a wet road,霓虹灯在潮湿路面形成色彩映射,光影,8
GQ00082,Mirror reflecting sunlight onto the ceiling,镜子反射阳光照到天花板,光影,6
GQ00083,Reflected image of a pedestrian on water rippling in the wind,水面反射行人影像被风吹散,光影,11
GQ00084,Glass bottle focusing sunlight into a bright spot on a table,玻璃瓶聚焦阳光在桌面形成亮点,光影,11
GQ00085,Car windshield reflecting distant scenery,汽车挡风玻璃反射远处景物,光影,5
GQ00086,Clock shadow swinging with its movement,时钟晃动时影子也跟着摆动,光影,6
GQ00087,Tree shadows shifting slowly on asphalt road,柏油路上树影随阳光缓慢移动,光影,7
GQ00088,Blinds' shadows moving slowly on the floor,百叶窗影子在地面缓缓移动,光影,7
GQ00089,Moonlight moving across the sheets as the moon rises,月光在床单上移动随着月升,光影,9
GQ00090,A person walking.,一个人走路。,"动作,人生成质量",3
GQ00091,A person running.,一个人跑步。,"动作,人生成质量",3
GQ00092,A person jumping.,一个人跳跃。,"动作,人生成质量",3
GQ00093,A person squatting.,一个人蹲下。,"动作,人生成质量",3
GQ00094,A person waving.,一个人挥手。,"动作,人生成质量",3
GQ00095,A person reaching out.,一个人伸手。,"动作,人生成质量",4
GQ00096,A person pointing.,一个人指向。,"动作,人生成质量",3
GQ00097,A person clapping hands.,一个人鼓掌。,"动作,人生成质量",4
GQ00098,A person drinking water.,一个人喝水。,"动作,人生成质量",4
GQ00099,A person eating.,一个人吃饭。,"动作,人生成质量",3
GQ00100,A person holding a book.,一个人拿书。,"动作,人生成质量",5
GQ00101,A person making a phone call.,一个人打电话。,"动作,人生成质量",6
GQ00102,A person smiling.,一个人微笑。,"动作,人生成质量",3
GQ00103,A person laughing.,一个人大笑。,"动作,人生成质量",3
GQ00104,A person frowning.,一个人皱眉。,"动作,人生成质量",3
GQ00105,A person speaking with mouth open.,一个人张嘴说话。,"动作,人生成质量",6
GQ00106,A person kicking a ball.,一个人踢球。,"动作,人生成质量",5
GQ00107,A person throwing.,一个人投掷。,"动作,人生成质量",3
GQ00108,A person catching a ball.,一个人接球。,"动作,人生成质量",5
GQ00109,A person rowing a boat.,一个人划船。,"动作,人生成质量",5
GQ00110,A sprinter runs from left to right on the track.,在跑道上，一名短跑运动员从左向右奔跑。,动态稳定性,10
GQ00111,A bus drives forward on the city street.,在城市街道上，一辆公交车向前行驶。,动态稳定性,8
GQ00112,A small boat drifts slowly with the river current.,在河面上，一艘小船沿着水流缓慢漂动。,动态稳定性,9
GQ00113,A child kicks a soccer ball forward on the park lawn.,在公园草地上，一个孩子向前踢足球。,动态稳定性,11
GQ00114,A kite rises and flutters in the wind by the seaside.,在海边，一只风筝迎风升起并飘动。,动态稳定性,11
GQ00115,A crane slowly lifts a steel beam at the construction site.,在工地上，吊车缓慢抬起钢梁。,动态稳定性,11
GQ00116,A train moves at a steady speed across the bridge.,在桥面上，一辆火车匀速驶过。,动态稳定性,10
GQ00117,A dancer spins on the stage.,在舞台上，一名舞者旋转舞动。,动态稳定性,6
GQ00118,Water flows continuously from the faucet in the kitchen.,在厨房里，水从水龙头持续流出。,动态稳定性,9
GQ00119,An airplane slowly takes off on the airport runway.,在机场跑道上，一架飞机缓缓起飞。,动态稳定性,9
GQ00120,Living room,客厅,场景,2
GQ00121,Kitchen,厨房,场景,1
GQ00122,Bedroom,卧室,场景,1
GQ00123,Bathroom,浴室,场景,1
GQ00124,Dining room,餐厅,场景,2
GQ00125,Study room,书房,场景,2
GQ00126,Home balcony,家庭阳台,场景,2
GQ00127,Storage room,杂物间,场景,2
GQ00128,Basement,地下室,场景,1
GQ00129,Laundry room,洗衣房,场景,2
GQ00130,Beach,海滩,场景,1
GQ00131,Forest,森林,场景,1
GQ00132,Lakeside,湖边,场景,1
GQ00133,Mountaintop,山顶,场景,1
GQ00134,Meadow,草地,场景,1
GQ00135,Riverside,河岸,场景,1
GQ00136,Garden,花园,场景,1
GQ00137,Farm,农场,场景,1
GQ00138,Desert,沙漠,场景,1
GQ00139,Snowfield,雪地,场景,1
GQ00140,"On a clear and cloudless day, the parking lot is full of cars.",晴朗无云时，停车场停满车辆。,"场景,天气",13
GQ00141,"With an azure blue sky, passengers board at the airport.",碧空如洗时，飞机场有乘客登机。,"场景,天气",10
GQ00142,"Under a boundless clear sky, workers load goods at the pier.",万里无云时，码头工人正搬运货物。,"场景,天气",11
GQ00143,"On a bright and sunny day, vehicles speed along the highway.",阳光明媚时，高速公路车辆飞驰。,"场景,天气",11
GQ00144,"When it is partly cloudy, passengers queue to enter the subway station.",部分多云时，地铁站乘客排队进站。,"场景,天气",12
GQ00145,"With scattered fluffy clouds, pedestrians walk on the city bridge.",白云朵朵时，城市桥梁上有行人散步。,"场景,天气",10
GQ00146,"On an overcast day, cars wait for refueling at the gas station.",阴天时，加油站有车辆等待加油。,"场景,天气",12
GQ00147,"In drizzly rain, pedestrians cross the intersection with umbrellas.",细雨蒙蒙时，十字路口的行人撑伞过街。,"场景,天气",9
GQ00148,"During light rain, someone returns a bike at the public bike station.",小雨时，公共自行车区有人归还单车。,"场景,天气",12
GQ00149,"In moderate rain, passengers wait at the taxi stand.",中雨时，出租车候车点乘客等待上车。,"场景,天气",9
GQ00150,"At dawn breaking, someone jogs in the park.",黎明破晓时，公园里有人慢跑。,"场景,时间",8
GQ00151,"In the early morning with mist, the street has few vehicles.",清晨薄雾中，街道上车辆稀少。,"场景,时间",11
GQ00152,"At high noon under the blazing sun, pedestrians hurry along the sidewalk.",正午阳光下，人行道上行人匆匆。,"场景,时间",12
GQ00153,"In the lazy afternoon, a couple walks in the plaza.",午后慵懒时光，广场上一对情侣散步。,"场景,时间",10
GQ00154,"During the golden hour, the market is bustling.",黄金时刻，市场里人来人往。,"场景,时间",8
GQ00155,"In the blue hour, lights flicker outside the shopping mall.",蓝色时刻，购物中心外灯光闪烁。,"场景,时间",10
GQ00156,"At the moment when the city lights turn on, customers chat in the café.",华灯初上时，咖啡馆里顾客交谈。,"场景,时间",14
GQ00157,"In the deep night, the supermarket cashier arranges the shelves.",深夜，超市收银员正在整理货架。,"场景,时间",10
GQ00158,"At midnight, passengers wait in the train station lounge.",午夜，火车站候车室有旅客等车。,"场景,时间",9
GQ00159,"At dusk before a storm, people queue at the bus stop.",暴雨将至的黄昏，公交车站有人排队等车。,"场景,时间",11
GQ00160,"In the stadium, slow motion shot of a runner with a tracking shot.",在体育场，慢动作拍摄跑步的运动员，并跟镜。,"场景,速度,镜头移动",13
GQ00161,"In the amusement park, fast motion shot of a spinning Ferris wheel with a zoom out.",在游乐园，快动作拍摄旋转的摩天轮，并镜头拉远。,"场景,速度,镜头移动",16
GQ00162,"At the swimming pool, time-lapse shot of water ripples with a static camera.",在游泳池，延时摄影拍摄水面波纹，镜头保持不动。,"场景,速度,镜头移动",13
GQ00163,"In the gym, real-time shot of a man lifting weights with a zoom in.",在健身房，实时拍摄举重的男子，并镜头拉近。,"场景,速度,镜头移动",14
GQ00164,"In the cinema, slow motion shot of a viewer entering the theater with a pan left.",在电影院，慢动作拍摄走进影厅的观众，并向左摇镜。,"场景,速度,镜头移动",16
GQ00165,"In the concert hall, fast motion shot of stage lights changing with a truck right.",在音乐厅，快动作拍摄舞台灯光变化，并向右横移。,"场景,速度,镜头移动",15
GQ00166,"In the library, time-lapse shot of a student flipping pages with a fixed camera.",在图书馆，延时摄影拍摄翻阅书籍的学生，镜头保持不动。,"场景,速度,镜头移动",14
GQ00167,"In the museum, reverse playback shot of a visitor picking up an exhibit with a static camera.",在博物馆，倒放拍摄拿起展品的游客，镜头保持不动。,"场景,速度,镜头移动",17
GQ00168,"In the art gallery, stop motion shot of a painting on the wall with a fixed camera.",在美术馆，定格动画拍摄墙上的画作，镜头保持不动。,"场景,速度,镜头移动",17
GQ00169,"In the playground, slow motion shot of a child on a swing with a Hitchcock zoom.",在儿童游乐区，慢动作拍摄荡秋千的孩子，并推拉变焦。,"场景,速度,镜头移动",16
GQ00170,"In the tropical rainforest, fast motion shot of leaves swaying in the wind with a pan right.",在热带雨林，快动作拍摄随风摇动的树叶，并向右摇镜。,"场景,速度,镜头移动",17
GQ00171,"In the Sahara Desert, time-lapse shot of dune shadows changing with a fixed camera.",在撒哈拉沙漠，延时摄影拍摄沙丘阴影变化，镜头保持不动。,"场景,速度,镜头移动",14
GQ00172,"On the Arctic glacier, reverse playback shot of an ice block falling into the water with a static camera.",在北极冰川，倒放拍摄落入水中的冰块，镜头保持不动。,"场景,速度,镜头移动",19
GQ00173,"In the alpine meadow, stop motion shot of wildflowers blooming with a fixed camera.",在高山草甸，定格动画拍摄野花盛开，镜头保持不动。,"场景,速度,镜头移动",14
GQ00174,"On the Amazon River, slow motion shot of a fisherman rowing with a pan left.",在亚马孙河，慢动作拍摄划船的渔夫，并向左摇镜。,"场景,速度,镜头移动",15
GQ00175,"In the Norwegian fjord, fast motion shot of a cruise ship passing with a zoom in.",在挪威峡湾，快动作拍摄驶过的游轮，并镜头拉近。,"场景,速度,镜头移动",16
GQ00176,"In the purple lavender field, time-lapse shot of flowers swaying with a fixed camera.",在紫色薰衣草田，延时摄影拍摄花海随风摇动，镜头保持不动。,"场景,速度,镜头移动",14
GQ00177,"In the Venice canals, slow motion shot of a gondolier rowing with a tracking shot.",在威尼斯运河，慢动作拍摄划船的船夫，并跟镜。,"场景,速度,镜头移动",15
GQ00178,"At New York Times Square, fast motion shot of crowds walking with a truck right.",在纽约时代广场，快动作拍摄行走的人群，并向右横移。,"场景,速度,镜头移动",15
GQ00179,"At the Beijing Forbidden City, stop motion shot of palace details with a fixed camera.",在北京紫禁城，定格动画拍摄宫殿细部，镜头保持不动。,"场景,速度,镜头移动",15
GQ00180,Clear and cloudless,晴朗无云,天气,3
GQ00181,Azure blue sky,碧空如洗,天气,3
GQ00182,Boundless clear sky,万里无云,天气,3
GQ00183,Bright and sunny,阳光明媚,天气,3
GQ00184,Partly cloudy,部分多云,天气,2
GQ00185,Scattered fluffy clouds,白云朵朵,天气,3
GQ00186,Overcast,阴天,天气,1
GQ00187,Drizzly rain,细雨蒙蒙,天气,2
GQ00188,Light rain,小雨,天气,2
GQ00189,Moderate rain,中雨,天气,2
GQ00190,Heavy downpour,大雨倾盆,天气,2
GQ00191,Drizzling,毛毛雨,天气,1
GQ00192,Thunderstorm,雷阵雨,天气,1
GQ00193,Sun shower,太阳雨,天气,2
GQ00194,Right after the rain,雨后初晴,天气,4
GQ00195,There is a red box on the table.,桌子上有一个红色的盒子。,"属性,物体,位置",8
GQ00196,There is a blue box on the table.,桌子上有一个蓝色的盒子。,"属性,物体,位置",8
GQ00197,There is a single box on the table.,桌子上有一个单个的盒子。,"属性,物体,位置",8
GQ00198,There is a pair of boxes on the table.,桌子上有一对盒子。,"属性,物体,位置",9
GQ00199,There is a wooden box on the table.,桌子上有一个木制的盒子。,"属性,物体,位置",8
GQ00200,There is a round box on the table.,桌子上有一个圆形的盒子。,"属性,物体,位置",8
GQ00201,There is a square box on the table.,桌子上有一个正方形的盒子。,"属性,物体,位置",8
GQ00202,There is an old box on the table.,桌子上有一个旧的盒子。,"属性,物体,位置",8
GQ00203,There is a box with a striped pattern on the table.,桌子上有一个带条纹花纹的盒子。,"属性,物体,位置",11
GQ00204,There is a box with a checkered pattern on the table.,桌子上有一个带格子花纹的盒子。,"属性,物体,位置",11
GQ00205,flying elephant,会飞的大象,幻想,2
GQ00206,person riding a dragon,骑龙的人,幻想,4
GQ00207,unicorn running in the sky,独角兽在天空奔跑,幻想,5
GQ00208,human casting a spell,人类施展魔法,幻想,4
GQ00209,flying castle,会飞的城堡,幻想,2
GQ00210,floating skyscraper,悬浮的摩天大楼,幻想,2
GQ00211,giant spaceship above the city,巨型太空飞船在城市上空,幻想,5
GQ00212,city floating in space,宇宙漂浮的城市,幻想,4
GQ00213,ocean in the sky,海洋在天空中,幻想,4
GQ00214,giant iceberg in the desert,沙漠中的巨型冰山,幻想,5
GQ00215,human walking without touching the ground,人类不接触地面行走,幻想,6
GQ00216,object passing through walls,物体穿过墙壁,幻想,4
GQ00217,giant walking on city streets,巨人走在城市街道,幻想,5
GQ00218,flying human baby,会飞的人类婴儿,幻想,3
GQ00219,person with two heads,双头人,幻想,4
GQ00220,animals in suits having a meeting,动物穿着西装开会,幻想,6
GQ00221,dancing tree,会跳舞的树,幻想,2
GQ00222,airplane flying underwater,飞机在水下飞行,幻想,3
GQ00223,volcano erupting colorful balloons,火山喷出五彩气球,幻想,4
GQ00224,winged wolf,有翅膀的狼,幻想,2
GQ00225,"A woman dances in a red dress on the beach at dusk, standing at the center of the frame, sunny weather, slow motion, circular camera movement.",一名女子在傍晚的海滩上，站在画面中央，穿着红色长裙跳舞，晴天，慢动作，镜头环绕拍摄。,整体,26
GQ00226,"A man kicks a blue soccer ball in the city square in the afternoon, positioned at the bottom left of the frame, breezy weather, normal speed, tracking shot.",一个男子下午在城市广场踢蓝色足球，位于画面左下角，微风天气，正常速度，镜头平移拍摄。,整体,28
GQ00227,"A woman plays the violin on a mountain top in the early morning, appearing in the distant background of the frame, misty weather, time-lapse, push-in camera shot.",一名女子清晨在山顶拉小提琴，出现在远景画面中，薄雾天气，延时摄影，镜头推近拍摄。,整体,27
GQ00228,"A child blows bubbles in the garden in the afternoon, near the right side of the frame, sunny weather, slow motion, follow-cam shot.",一个孩子在午后的花园里吹泡泡，靠近画面右侧，晴天，慢动作，镜头跟随拍摄。,整体,23
GQ00229,"An elderly man walks with a brown cow on a country road at dusk, positioned at the left of the frame, cloudy weather, normal speed, tracking shot.",一位老人黄昏时在乡间小路牵一头棕色牛，位于画面左侧，阴天，正常速度，镜头平移拍摄。,整体,27
GQ00230,"A man casts a fishing net by the riverside in the morning, standing at the bottom of the frame, sunny weather, slow motion, overhead camera shot.",一个男子早晨在河边抛鱼网，站在画面下方，晴天，慢动作，镜头俯拍。,整体,26
GQ00231,"A woman takes photos on a city overpass at night, positioned slightly right of center in the frame, under streetlights, normal speed, circular camera movement.",一名女子在夜晚的城市天桥上拍照，位于画面中央偏右，路灯照明，正常速度，镜头环绕拍摄。,整体,25
GQ00232,"A man skis downhill at high speed in a snowy ski resort, appearing at the lower part of the frame, time-lapse, follow-cam shot.",一个男子在雪天的滑雪场高速滑雪，出现在画面下方，延时摄影，镜头跟随拍摄。,整体,23
GQ00233,"A woman plants rice seedlings in a paddy field in the early morning, positioned at the top right of the frame, misty weather, slow motion, tracking shot.",一名女子在清晨的稻田插秧，位于画面右上角，薄雾天气，慢动作，镜头平移拍摄。,整体,27
GQ00234,"A man carries wooden crates at the harbor in the evening, standing in the center of the frame, cloudy weather, normal speed, push-in camera shot.",一个男子傍晚在港口搬运木箱，站在画面中央，阴天，正常速度，镜头推近拍摄。,整体,25
GQ00235,"A woman rides a green mountain bike on a forest trail in the afternoon, positioned at the left of the frame, sunny weather, slow motion, follow-cam shot.",一名女子下午在森林小径骑绿色山地自行车，位于画面左侧，晴天，慢动作，镜头跟随拍摄。,整体,27
GQ00236,"A man walks carrying a silver tray in a dimly lit restaurant at night, standing in the center of the frame, normal speed, push-in camera shot.",一个男子夜晚在灯光昏暗的餐厅端着银色托盘行走，站在画面中央，正常速度，镜头推近拍摄。,整体,26
GQ00237,"A woman skips stones by the lake in the early morning, near the right side of the frame, sunny weather, slow motion, tracking shot.",一名女子清晨在湖边打水漂，靠近画面右侧，晴天，慢动作，镜头平移拍摄。,整体,24
GQ00238,"A child swings in a playground in the afternoon, standing at the center of the frame, breezy weather, time-lapse, circular camera movement.",一个孩子午后在游乐场荡秋千，站在画面中央，微风天气，延时摄影，镜头环绕拍摄。,整体,22
GQ00239,"An elderly man harvests wheat in a farmland at dusk, appearing in the distant background of the frame, cloudy weather, normal speed, tracking shot.",一位老人傍晚在农田收割麦穗，出现在远景画面中，阴天，正常速度，镜头平移拍摄。,整体,24
GQ00240,"A man installs an antenna on a city rooftop in the early morning, positioned at the bottom left of the frame, misty weather, slow motion, follow-cam shot.",一个男子清晨在城市屋顶安装天线，位于画面左下角，薄雾天气，慢动作，镜头跟随拍摄。,整体,27
GQ00241,"A woman dances street style beside a fountain at night, near the right side of the frame, clear sky, normal speed, circular camera movement.",一名女子夜晚在喷泉边跳街舞，靠近画面右侧，晴天，正常速度，镜头环绕拍摄。,整体,24
GQ00242,"A man drives a yellow towing vehicle on the airport runway in the afternoon, standing in the center of the frame, bright sunlight, slow motion, tracking shot.",一个男子下午在机场跑道驾驶黄色拖车，站在画面中央，阳光强烈，慢动作，镜头平移拍摄。,整体,27
GQ00243,"A woman arranges bouquets at the flower shop in the morning, positioned at the top left of the frame, sunny weather, normal speed, push-in camera shot.",一名女子早晨在花店整理花束，位于画面左上角，晴天，正常速度，镜头推近拍摄。,整体,26
GQ00244,"A child sets paper boats afloat on the riverside at dusk, near the center of the frame, cloudy weather, time-lapse, follow-cam shot.",一个孩子黄昏在河岸放纸船，靠近画面中央，阴天，延时摄影，镜头跟随拍摄。,整体,22
GQ00245,"A woman lays a picnic cloth in the valley in the afternoon, positioned at the right of the frame, sunny weather, slow motion, tracking shot.",一名女子下午在山谷铺野餐布，位于画面右侧，晴天，慢动作，镜头平移拍摄。,整体,25
GQ00246,"A man ties mooring ropes at the harbor at night, standing in the center of the frame, rolling clouds, normal speed, push-in camera shot.",一个男子夜晚在港口系泊绳索，站在画面中央，云层翻滚，正常速度，镜头推近拍摄。,整体,24
GQ00247,"A woman walks with a camel in the desert in the early morning, positioned at the left of the frame, sunny weather, slow motion, circular camera movement.",一名女子清晨在沙漠里牵骆驼行走，位于画面左侧，晴天，慢动作，镜头环绕拍摄。,整体,27
