编号,各组合维度,Prompt,en_prompt
28,光照 + 表情,窗前人物面部柔光，表情沉思，光线渲染内敛情感，画面感人。,"The figure by the window is bathed in soft light, their expression one of deep thought. The lighting imbues the scene with a reserved emotion, making it profoundly touching."
29,光照 + 服装,丝绸服装在侧光下质感突出，光线增强服装华丽感，人物优雅。,"Silk garments stand out in sidelight, enhancing their luxurious appearance and adding to the elegance of the person wearing them."
30,光照 + 化妆,化妆面部在霓虹光下，光线凸显妆容金属感，风格前卫。,"The makeup on the face stands out under neon lights, highlighting a metallic sheen and a futuristic style."
31,影调 + 色彩,雨夜街景，低影调与霓虹色彩对比，氛围忧郁又绚丽。,"The rainy night street scene, with its low-key shadows contrasting against neon colors, creates an atmosphere that is both melancholic and dazzling."
32,影调 + 景深,雾中竹林，浅景深突出竹叶，低影调增强朦胧美感。,"Misty bamboo forest, with a shallow depth of field highlighting the bamboo leaves and low contrast enhancing the hazy beauty."
33,影调 + 表情,黑白影调人物特写，表情坚毅，影调强化角色深度。,"A close-up portrait in black and white with a resolute expression, emphasizing the tones to deepen the character's presence."
34,影调 + 服装,中世纪骑士服装在暗调城堡中，影调突出历史厚重感。,"Medieval knight costumes stand out in the dark-toned castle, highlighting the weight of history."
35,影调 + 化妆,吸血鬼妆容在阴影像调下，影调增强恐怖氛围，化妆逼真。,"Vampire makeup, under dark tonalities, enhances the eerie atmosphere with its realistic appearance."
36,色彩 + 景深,花园鲜花色彩鲜艳，景深虚化背景，色彩与焦点突出生机。,"The flowers in the garden are brightly colored, with a shallow depth of field that blurs the background, making the colors and focus stand out vividly."
37,色彩 + 表情,儿童笑脸特写，背景色彩明亮，色彩传递快乐情绪。,A close-up of a child's smiling face with a bright background that conveys feelings of happiness.
38,色彩 + 服装,节日服装色彩斑斓，色彩对比强烈，服装凸显庆典喜悦。,"The festival attire is vibrant and features strong color contrasts, highlighting the joy of the celebration."
39,色彩 + 化妆,艺术妆容色彩夸张，色彩搭配创新，视觉冲击力强。,"The artistic makeup features exaggerated colors, innovative color combinations, and a strong visual impact."
40,景深 + 表情,浅景深突出人物微笑表情，背景模糊，情感集中。,"A shallow depth of field highlights the person's smiling expression, with the background blurred to concentrate the emotional focus."
41,景深 + 服装,传统婚礼服装特写，景深虚化环境，服装细节突出。,"Close-up of traditional wedding attire, with a blurred background to highlight the details of the clothing."
42,景深 + 化妆,眼部妆容特写，景深使睫毛清晰，化妆精致迷人。,"Close up of eye makeup, depth of field makes eyelashes clear, delicate and charming makeup."
43,表情 + 服装,武士服装人物威严表情，服装与表情共同塑造角色气势。,"The dignified expression of the samurai character, combined with the costume, jointly shapes the character's presence."
44,表情 + 化妆,小丑妆容与夸张表情结合，化妆增强喜剧效果。,The clown's makeup and exaggerated expressions combine to enhance the comedic effect.
45,服装 + 化妆,宫廷贵妇服装与精致妆容，整体风格华丽历史感强。,Court ladies' attire and intricate makeup create an overall style that is luxurious and rich in historical grandeur.
46,整体 + 表情,人物演讲特写，表情自信，整体视频鼓舞人心，情感共鸣强。,"A close-up of the speaker, exuding confidence, with the entire video being inspiring and emotionally resonant."
47,整体 + 服装,时尚模特走秀，服装设计前沿，整体视频视觉冲击力强。,"The fashion show features trendy models and cutting-edge clothing designs, creating a strong visual impact overall."
48,整体 + 化妆,特效化妆过程，整体视频创意十足，技术精湛。,"The special effects makeup process, the overall video is full of creativity and superb skills."
49,构图 + 影调,几何建筑构图，影调低沉突出结构美，画面有构成感。,"The geometric architectural composition, with its somber tonality highlighting the structural beauty, gives the image a sense of composition."
50,光照 + 色彩,日落时海面光影与色彩交融，整体和谐富有美感。,The sunset blends the light and colors on the sea surface into a harmonious and beautiful whole.
51,构图 + 景别 + 光照,一座现代艺术博物馆的宏观全景缓缓推进至外墙材质的特写，构图采用引导线突出建筑线条，傍晚的侧光强化了建筑的质感和立体感，画面层次丰富。,"A panoramic view of a modern art museum gradually zooms in to a close-up of the exterior material. The composition uses leading lines to highlight the building's contours, and the side lighting in the evening enhances the texture and three-dimensionality of the architecture, making the image layers rich and diverse."
52,景别 + 影调 + 色彩,从秋日森林的广角镜头切换到一片红叶的微距特写，低饱和度的影调烘托出静谧氛围，色彩以暖黄和暗红为主，和谐而富有诗意。,"Switching from a wide-angle shot of an autumn forest to a macro close-up of a red leaf, the low saturation tones create a tranquil atmosphere, with warm yellow and dark red colors harmoniously blending together in a poetic manner."
53,表情 + 服装 + 化妆,一位京剧演员的面部特写，表情从凝重点燃为坚定的眼神，华丽的凤冠霞帔服装与浓重油彩妆容完美融合，塑造出威严且富有感染力的舞台角色。,"A close-up of a Peking opera actor's face, with an expression that transforms from a concentrated gaze into a resolute stare. The splendid costume of phoenix headdress and embroidered robe blends seamlessly with the heavy makeup, creating a powerful and captivating stage character."
54,整体 + 光照 + 色彩,日落时分的海滩，整体视频温暖而治愈，金色的阳光洒在海浪上，光线与蓝粉色天空形成柔和的色彩渐变，视觉冲击力强，引发情感共鸣。,"At sunset, the beach is captured in a warm and soothing video. Golden sunlight sprinkles over the waves, creating a soft gradient of colors between the light and the sky, which turns shades of blue and pink. The visual impact is strong, evoking emotional resonance."
55,构图 + 影调 + 景深,一条幽深的巷弄，构图利用两侧墙壁形成强烈的透视感，低调影像营造神秘气氛，浅景深将视线引导至巷弄尽头的光点，增强叙事性。,"A narrow, dim alleyway, with the composition using both sides of the walls to create a strong sense of perspective. The low-key imagery evokes an air of mystery, while shallow depth of field guides the viewer's gaze to a light at the end of the alley, enhancing the narrative quality."
56,景别 + 色彩 + 表情,在色彩缤纷的节日烟花背景下，从人群的欢呼中景切换到年轻人洋溢着灿烂笑容的脸部特写，明亮的色彩与喜悦的表情共同传递出欢庆的情感。,"Against the backdrop of colorful festival fireworks, the scene shifts from the cheering crowd to a close-up of a young person's face beaming with joy, where bright colors and expressions of delight come together to convey a sense of celebration."
57,光照 + 服装 + 化妆,一束顶光打在古典舞者身上，光线凸显了丝绸服装的流动光泽和面部妆容的精致细节，服装与化妆在光影下更显华美，角色塑造鲜明。,"A beam of top light falls on the classical dancer, highlighting the flowing sheen of the silk garments and the intricate details of the facial makeup. Under the play of light and shadow, the costumes and makeup appear even more resplendent, with the character vividly defined."
58,整体 + 构图 + 景深,一盘精致甜点的特写视频，整体呈现诱人食欲，构图将主体置于黄金分割点，背景虚化自然，景深巧妙突出食物的细腻质感。,"A close-up video of a delicate dessert, overall presenting an appetizing appeal. The composition places the main subject at the golden ratio point, with a naturally blurred background and a depth of field that cleverly highlights the fine texture of the food."
59,影调 + 色彩 + 服装,一位身着深色旗袍的女子在暗调的书房中，影调低沉突出怀旧氛围，服装的深色与手中书卷的暖色形成对比，色彩搭配凸显人物沉静气质。,"A woman in a dark cheongsam stands in a dimly lit study, where the low lighting accentuates a nostalgic atmosphere. The dark tones of her dress contrast with the warm hues of the book she holds, highlighting her tranquil demeanor through the color palette."
60,构图 + 表情 + 化妆,对称构图下，一位面容憔悴的戏剧角色直视镜头，夸张的泪滴妆容与绝望的表情相辅相成，构图强化了角色的悲剧性和视觉张力。,"In a symmetrical composition, a gaunt theatrical character stares directly into the lens, with exaggerated teardrop makeup complementing their expression of despair, enhancing both the character's tragic nature and visual tension."
61,景别 + 光照 + 影调,从暴风雨来临前乌云压城的远景，快速切换到窗户上雨滴的特写，变幻的光线与低沉的影调共同渲染出紧张而壮丽的自然气氛。,"From the distant view of dark clouds looming before the storm, the scene quickly cuts to a close-up of raindrops on a windowpane. The shifting light and somber tones combine to create a tense yet majestic atmosphere of nature."
62,整体 + 色彩 + 景深,春日花园的漫步视频，整体氛围生机盎然，色彩鲜艳的花朵充满画面，利用景深变化时而突出前景繁花，时而展现后景绿意，视觉享受。,"The spring garden stroll video exudes vitality with its vibrant colors and lush flowers filling the frame. By utilizing depth of field changes, it alternately highlights the blooming flowers in the foreground and showcases the greenery in the background, providing a visual treat."
63,光照 + 影调 + 表情,烛光下，一位老者的面部特写，跳动的光线在其脸上形成柔和的影调，慈祥而复杂的表情在光影中更显深邃，充满感染力。,"Under the candlelight, a close-up of an elderly man's face is shown. The flickering light creates soft shadows on his face, and his kind yet complex expression appears even more profound in the play of light and shadow, deeply touching."
64,构图 + 服装 + 化妆,一位未来战士的全身构图，服装设计充满机械细节，妆容带有荧光纹路，构图突出角色的科技感与力量感，风格突出。,"A full-body composition of a futuristic warrior, with costume design brimming with mechanical details and makeup featuring fluorescent patterns, emphasizing the character's sense of technology and strength, highlighting a distinctive style."
65,景别 + 景深 + 表情,从交谈的双人中景推近至其中一人若有所思的浅景深特写，虚化的背景使其微妙的表情成为焦点，传达出内心的犹豫情感。,"The medium close-up of the two conversing individuals zooms in on one of them in a shallow depth of field, thoughtfully pensive. The slightly blurred background brings focus to their subtle expressions, conveying a sense of inner hesitation."
66,整体 + 影调 + 服装,一位中世纪骑士策马徐行的慢镜头，整体视频具有史诗感，低调影像与古朴的铠甲服装共同强化了历史的厚重与角色的英勇。,"A slow-motion shot of a medieval knight riding slowly on horseback, with the entire video exuding an epic feel. The subdued imagery and rustic armor costumes work together to enhance the weight of history and the heroism of the character."
67,色彩 + 景深 + 化妆,妆容艺术视频，焦点集中在模特眼部，眼影色彩大胆撞色，背景虚化，景深使鲜艳的妆容细节极为突出，视觉美感强。,"A makeup art video with a focus on the model's eyes, featuring bold and clashing eyeshadow colors. The background is blurred, and the depth of field highlights the vibrant makeup details, creating a strong visual appeal."
68,构图 + 光照 + 色彩,城市夜景，构图以桥梁的曲线引导视线，灯光在水中的倒影形成斑斓色彩，光线运用恰到好处，营造出繁华而和谐的视觉氛围。,"The city skyline at night, with the curved bridge guiding the viewer's gaze, creates a vibrant visual atmosphere. The reflections of the lights in the water form a dazzling array of colors, and the lighting is perfectly employed to evoke a sense of prosperity and harmony."
69,整体 + 景别 + 表情,一个讲述归家故事的视频，从车站的远景到亲人相拥时泪中带笑的表情特写，景别变化自然，整体情感真挚，引发强烈共鸣。,"A video telling a story of returning home, from the long shot of the station to the close-up of tearful yet smiling faces as family members embrace, the changes in shot size are natural, and the overall emotion is sincere, evoking strong resonance."
70,影调 + 色彩 + 景深,雨后的都市夜晚，霓虹灯牌在湿漉漉的街道上反射出迷离色彩，利用浅景深聚焦于个别光斑，低调影像增添了一份孤独的都市美感。,"On a rainy night in the city, neon signs reflect hazy colors on the wet streets. Using a shallow depth of field to focus on individual light spots adds a touch of urban loneliness and beauty to the low-key imagery."
71,光照 + 表情 + 服装,清晨柔光透过窗户，照亮一位穿着洁白练功服的舞者，平静而专注的表情与素雅的服装在光线下显得纯净而富有美感。,"The gentle morning light streams through the window, illuminating a dancer clad in a white practice suit. Her serene and focused expression, paired with her simple attire, appears pure and aesthetically pleasing in the light."
72,构图 + 景别 + 影调,废弃工厂的内部，构图强调钢铁结构的几何感，从空旷的广角到锈迹特写的景别变化，统一在冷峻的灰色影调中，氛围压抑。,"Inside the abandoned factory, the composition emphasizes the geometric feel of the steel structures, with a range from wide-angle shots of the vast space to close-ups of rusted details, all unified in a cold, gray tonality, creating a oppressive atmosphere."
73,整体 + 化妆 + 服装,一位宫装女子的登场视频，整体造型华丽复古，精致的头饰妆容与锦绣服装相得益彰，极具视觉美感与文化韵味。,"A video featuring an elegantly dressed lady in imperial attire, with a luxurious and vintage overall appearance. Her exquisite headdress, makeup, and embroidered garments complement each other beautifully, offering a visually stunning and culturally rich aesthetic."
74,色彩 + 表情 + 服装,狂欢节上，身着鲜艳羽毛服装的舞者露出狂喜的表情，强烈的色彩对比与奔放的情感共同塑造出热烈欢快的角色形象。,"At the carnival, dancers in vibrant feather costumes wore expressions of ecstasy, and the strong color contrasts combined with unrestrained emotions jointly shaped lively and joyful characters."
75,景深 + 表情 + 化妆,极浅的景深下，焦点对准模特的眼神，眼部妆容的闪粉细节清晰，眼神中流露出的神秘感与妆容风格完美结合，富有魅力。,"With an extremely shallow depth of field, the focus is on the model's eyes, highlighting the sparkling details of her eye makeup. The enigmatic aura in her gaze perfectly complements the style of her makeup, exuding charm."
76,整体 + 构图 + 光照,一座现代教堂的内部空间，整体视频庄严肃穆，构图凸显建筑的对称与高耸，从彩玻璃透入的光线形成神圣的光束，氛围感强。,"The interior of a modern church is captured in a solemn video, with compositions highlighting the symmetry and grand height of the architecture. The light filtering through stained glass windows forms sacred beams, creating a strong sense of atmosphere."
77,景别 + 色彩 + 服装,从传统庙会的热闹全景，拉近到一位穿着汉服少女的腰部以上中景，服装的鲜艳色彩与背景的红灯笼相映成趣，文化气息浓厚。,"From the bustling scene of a traditional temple fair, the view zooms in to a young woman in a Hanfu dress, with a medium shot focusing on her upper body. The vibrant colors of her attire complement the red lanterns in the background, creating a rich cultural atmosphere."
78,光照 + 影调 + 景深,图书馆书架间，一束侧光打亮翻书的手，周围环境处于深沉的影调中，浅景深突出动作，光影营造出宁静而知性的氛围。,"A side light illuminates a hand turning the pages of a book among the library shelves, with the surrounding environment bathed in deep shadows. The shallow depth of field emphasizes the action, and the play of light and shadow creates a tranquil and intellectual atmosphere."
79,构图 + 色彩 + 表情,以一片纯色背景构图，焦点是人物充满希望的笑脸，背景色与人物服装色彩形成温和对比，构图简洁，情感表达直接有力。,"The composition features a solid-colored background, with the focal point being a hopeful smile on the subject's face. The background color creates a gentle contrast with the subject's clothing. The design is simple and straightforward, conveying emotions that are direct and powerful."
80,整体 + 景深 + 服装,T台时尚特写视频，整体风格前卫，景深极浅，焦点随模特步伐在服装的不同细节间流转，突出面料质感与设计巧思。,"A catwalk fashion close-up video with a cutting-edge style, featuring an extremely shallow depth of field. The focus shifts with the model's steps, highlighting different details of the clothing to emphasize the texture of the fabric and the design ingenuity."
81,影调 + 化妆 + 表情,低调人像，光线仅照亮半张脸，哥特风格妆容与忧郁迷离的表情在暗调中融为一体，强化了角色的神秘感和情绪深度。,"A low-key portrait with lighting illuminating only half the face, blending gothic makeup and melancholic, enigmatic expressions into the dark tones, enhancing the character's mystery and emotional depth."
82,构图 + 景别 + 色彩,丰收的麦田，构图采用曲线分割画面，从金色麦浪的远景到麦穗颗粒的特写，景别变化丰富，色彩统一而温暖，给人以愉悦。,"The thriving wheat fields, with a composition divided by curved lines, transition from a distant view of the golden wheat waves to a close-up of the wheat grains, offering a rich variation in framing. The unified and warm colors bring joy to the viewer."
83,光照 + 色彩 + 服装,舞台追光灯下，歌剧演员的华丽戏服折射出丰富色彩，光线不仅照亮主体，更与服装色彩共同塑造了辉煌的舞台形象。,"Under the spotlight on the stage, the opera actors' magnificent costumes reflect a rich array of colors. The light not only illuminates the performers but also, in conjunction with the hues of the costumes, creates a glorious stage image."
84,整体 + 影调 + 化妆,一个概念性美妆视频，整体艺术感极强，全程采用高反差黑白影调，凸显模特前卫妆容的结构与线条，视觉冲击力强。,"A conceptual makeup video with a strong artistic feel, using high-contrast black and white throughout to highlight the structure and lines of the model's avant-garde makeup, creating a powerful visual impact."
85,景别 + 光照 + 表情,从逆光剪影的远景，逐渐推近至人物被霞光勾勒的侧脸特写，光线渲染出浪漫气氛，表情宁静而满足，情感共鸣强烈。,"From the distant backlit silhouette, the scene gradually zooms in to a close-up of a profile face outlined by the glow of the sunset, the lighting creating a romantic atmosphere. The expression is serene and content, evoking a strong emotional resonance."
86,构图 + 影调 + 服装,一位侠客孤身立于悬崖的构图，剪影效果突出人物的孤独感，服装的飘动与背景的宏大共同增强了画面的戏剧性。,"The composition of a knight standing alone on a cliff highlights the character's sense of loneliness through silhouette effects, while the fluttering of clothing and the grandeur of the background enhance the dramatic aspect of the picture."
87,色彩 + 景深 + 服装,一位身着淡雅和服的女子在樱花树下，服装的柔和色彩与樱花相融，利用景深虚实变化，使人物在缤纷背景中脱颖而出，画面唯美。,"A woman in a soft and elegant kimono stands under a cherry blossom tree. The gentle colors of her attire blend harmoniously with the cherry blossoms. Through the use of depth-of-field techniques, the figure stands out against the vibrant background, creating a stunningly beautiful scene."
88,整体 + 景别 + 光照,纪录片风格的山水视频，整体展现自然之壮阔，从航拍全景到水波粼粼的特写，不同时间的光线塑造出多变的景观质感。,"A documentary-style landscape video showcasing the grandeur of nature, from aerial panoramic shots to close-ups of rippling waters, with varying light conditions at different times creating diverse textures in the scenery."
89,表情 + 服装 + 化妆,一位变身中的科幻角色，表情从痛苦到坚毅，服装与化妆随之发生光效变化，三者结合紧密，生动讲述了角色转变的故事。,"A sci-fi character in the midst of a transformation, with expressions shifting from pain to resolve, accompanied by light effects changing on their costume and makeup. The three elements come together seamlessly, vividly telling the story of the character's transition."
90,构图 + 光照 + 景深,餐桌上的一道美食，构图精致，顶光突出食物的光泽与纹理，景深控制使主体清晰而背景餐具适当虚化，诱人味蕾。,"A delicacy on the dining table, with a meticulously composed layout, the top lighting highlights the luster and texture of the food. The depth of field is controlled so that the main subject is clear while the background utensils are appropriately blurred, enticing the taste buds."
91,整体 + 色彩 + 表情,一个关于童年回忆的视频，整体色调清新明亮，色彩饱和度高，孩子们天真无邪的笑脸特写贯穿始终，充满快乐与感染力。,"A video about childhood memories has an overall fresh and bright tone with high color saturation. Close-ups of children's innocent smiles run throughout, filled with joy and infectious energy."
92,影调 + 景深 + 服装,古堡长廊中，一位身着复古长裙的女子背影，深沉的影调与纵深感强的景深共同营造神秘感，服装细节在朦胧中若隐若现。,"In the long corridor of an ancient castle, the silhouette of a woman in a vintage dress creates an air of mystery, enhanced by the deep shadows and strong depth of field. The details of her attire are barely visible through the haze."
93,景别 + 影调 + 化妆,从化妆镜中的倒影中景，切换到眼部妆容的极致特写，影调偏暗以突出妆容的色彩与光泽，展现化妆过程的艺术性。,"Switching from a view of the reflection in the makeup mirror to an extreme close-up of the eye makeup, with dark tones to highlight the colors and shine of the makeup, showcasing the artistry of the makeup process."
94,光照 + 色彩 + 景深,水族馆中，光线透过水缸投射出蓝色调，鱼群游过时利用景深突出特定色彩鲜艳的个体，色彩与光影交织出梦幻场景。,"In the aquarium, blue-toned light filters through the tanks, highlighting individual fish with vibrant colors as they swim past, creating a dreamlike scene where color and light interweave."
95,整体 + 构图 + 表情,一个人物访谈视频，整体质感真实感人，构图稳定突出人物，受访者真挚的表情特写牢牢抓住观众，引发深度共鸣。,"A character interview video with a genuine and touching overall feel, the composition is stable and highlights the subject, with close-ups of the sincere expressions of the interviewee capturing the audience and evoking deep resonance."
96,构图 + 色彩 + 服装,市集上，构图捕捉一位身着民族服装的老奶奶坐在色彩斑斓的商品中间，色彩丰富而和谐，服装凸显了地域文化特色。,"At the market, a composition captures an elderly lady in ethnic attire sitting among vibrant goods, with rich and harmonious colors highlighting the regional cultural characteristics of her clothing."
97,景别 + 景深 + 服装,从时装秀的后台全景，快速聚焦到一位模特服装上的独特刺绣特写，景别与景深结合展现了服装的局部之美与整体环境。,"From the wide shot of the backstage of a fashion show, the focus quickly zooms in on the intricate embroidery on a model's outfit, combining framing and depth of field to highlight both the detail of the garment and its overall environment."
98,光照 + 影调 + 色彩,燃烧的篝火旁，暖色调的光线在夜幕中跳跃，火光与周围人脸的色彩温暖而生动，氛围感十足。,"By the blazing bonfire, warm-toned light dances in the night sky, casting a vivid and lively warmth on the faces around it, creating a wonderfully atmospheric scene."
99,整体 + 光照 + 化妆,一个高级定制妆容展示视频，整体制作精良，利用专业影室光多角度打亮模特面部，完美呈现妆容的质感与立体感，技术性强。,"A high-end custom makeup demonstration video, with overall excellent production quality, uses professional studio lighting from multiple angles to highlight the model's face, perfectly showcasing the texture and dimension of the makeup. The video is technically sophisticated."
100,影调 + 表情 + 服装,黑白摄影风格视频，影调细腻，一位穿着简约黑色礼服的歌手演唱时投入的表情被强调，服装与影调共同突出情感表达。,"A black and white photography style video with delicate tones highlights the devoted expression of a singer in a simple black evening gown, with the attire and tones working together to emphasize emotional expression."
101,构图 + 景别 + 景深,古老的石拱门下，利用框架构图，从门外的广阔景象到门洞内壁的苔藓细节，景别与景深变化增强空间叙事。,"Beneath the ancient stone archway, using framing composition, the scene transitions from the vast view outside the door to the moss details inside the arch, enhancing the spatial narrative through variations in depth of field and shot size."
102,色彩 + 表情 + 化妆,小丑演员脸部特写，妆容色彩对比强烈，表情瞬间由笑转悲，色彩与妆容放大了表情的戏剧性变化，极具感染力。,"A close-up of a clown actor's face with vibrant makeup shows an instant shift from laughter to sorrow, amplifying the dramatic change in expression through color and makeup, making it highly infectious."
103,整体 + 影调 + 景深,雾中竹林的风光视频，整体意境悠远，低调影像与雾气共同营造朦胧感，景深控制使竹子的前后层次分明，诗意盎然。,"The video of bamboo forests in the fog features a distant and poetic atmosphere. The low-key imagery combined with the mist creates a sense of haziness, while the depth of field control clearly delineates the front-to-back layers of the bamboo, exuding poetic charm."
104,光照 + 服装 + 表情,夕阳逆光下，一位少女穿着轻纱长裙奔跑，光线勾勒出轮廓光，服装飘逸，表情自由快乐，画面充满青春美感。,"Under the backlight of the sunset, a young girl runs in a flowing long dress, with light outlining her silhouette. Her attire is graceful, and her expression exudes freedom and joy, creating a scene full of youthful beauty."
105,构图 + 影调 + 色彩,一幅以冷色调为主的城市雨夜构图，影调低沉，但霓虹灯牌的暖色点缀其中，色彩对比形成了独特的视觉氛围。,"A city night rain scene dominated by cool tones, with a somber mood brightened by warm neon signs, creating a unique visual atmosphere through color contrast."
106,景别 + 光照 + 服装,从宫殿王座的全景镜头，推近至国王身着华服的中景，一道光柱从顶部照亮国王，光线凸显了服装的华贵与角色的权威。,"From a wide shot of the palace throne, it zooms in to a mid-shot of the king dressed in regal attire. A beam of light shines down on the king, highlighting the opulence of his clothing and emphasizing his authority."
107,整体 + 色彩 + 化妆,一个艺术彩妆创作视频，整体构思新颖，大胆运用对比色块在面部进行创作，色彩搭配极具视觉冲击力，展现个性风格。,"A makeup art creation video with an innovative overall concept, boldly using contrasting color blocks on the face for artistic expression. The color combinations are visually striking and showcase a unique personal style."
108,影调 + 景深 + 表情,黑暗中一束微光照射下的面部特写，极浅景深使眼睛清晰，眼神中蕴含的故事在低调影像中显得格外深刻动人。,"A close-up of a face illuminated by a faint light in the darkness, with an extremely shallow depth of field that makes the eyes clear. The stories reflected in the eyes are particularly profound and touching against the understated backdrop."
