prompt,q1,q2,q3,q4,q5,q6,o1,o2,o3,o4,o5,o6
A fixed shot of a coffee cup with steam rising but the cup itself remaining steady.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
"The desert is being shot in time-lapse, with the sand dunes remaining stationary and unchanged.",静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
"A woman smiles standing at the center in daytime, tilt down.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
"High-resolution aerial photos of the forest, with trees remaining stable and undistorted as the camera moves.",视频是否清晰？,静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,
"A woman smiles standing at the center in daytime, truck left.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
Fish swim in the aquarium while the background rocks remain stationary and unchanging.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
Long exposure star photography with good consistency between frames.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
"A woman smiles standing at the center in daytime, zoom out.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
"Winter night snowscape, smooth and pure in texture.",视频是否没有噪点？,,,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,,,
"A woman smiles standing at the center in daytime, pedestal up.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
"A woman smiles standing at the center in daytime, pedestal down.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
"Taking photos of cat eyes in low light with no noise, clean and clear.",视频是否没有噪点？,,,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,,,
"A woman smiles standing at the center in daytime, zoom in.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
Star trail time-lapse photography with a clean signal and no grain.,视频是否没有噪点？,,,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,,,
"The stage spotlight falls on the actor, with the light steady and without any flicker.",视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,,,,"1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,,,,
"A woman smiles standing at the center in daytime, hitchcock zoom.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
"A woman smiles standing at the center in daytime, tracking shot.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
"Shooting glowing jellyfish in the deep sea, with textures that are pristine and noise-free.",视频是否没有噪点？,,,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,,,
A desk lamp remains fixed on the table.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
"A woman smiles standing at the center in daytime, handheld shot.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
An oil painting on the wall stays in place in the art gallery.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
Indoor still life photography with stationary objects and normal lighting.,静止的视频内容是否稳定不随时间变动？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,,,
A coffee cup stays motionless on the café table.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
Black and white film-style street photography with clean signals and no grain.,视频是否没有噪点？,,,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,,,
A candlelit dinner with a steady flame that provides stable light without flickering.,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,,,,"1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,,,,
"Morning sunlight filters into the forest, casting natural shadows with even exposure.",视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,,,,"1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,,,,
The cellular structure in the photomicrograph is pure and clear in texture.,视频是否没有噪点？,,,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,,,
A statue in the city square remains completely still.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
A park bench in oil painting style.,视频风格是否和文本一致？,,,,,,"-1：提示文本没有规定视频风格，表示此问题作废,1：完全不一致（完全是不同的视频风格，没有任何目标风格的特征）,2：视频表现出一部分目标风格的特征,3：完全一致",,,,,
An indoor reading scene with normal lighting and no overexposure.,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,,,,"1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,,,,
A bus stop shelter in pointillism style.,视频风格是否和文本一致？,,,,,,"-1：提示文本没有规定视频风格，表示此问题作废,1：完全不一致（完全是不同的视频风格，没有任何目标风格的特征）,2：视频表现出一部分目标风格的特征,3：完全一致",,,,,
Even lighting for studio portrait photography with no unwanted highlights.,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,,,,"1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,,,,
"At sunset, the beach is bathed in stable lighting with natural gradients of color.",视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,,,,"1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,,,,
"The drone flies through the canyon, with a fixed spatial structure and clear visuals.",视频是否清晰？,静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,
"The rocket launch, with the tail flame moving without distortion and no overexposure.",实体运动过程中是否自然不异常扭曲？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,,,
A diving platform at the swimming pool in pop art style.,视频风格是否和文本一致？,,,,,,"-1：提示文本没有规定视频风格，表示此问题作废,1：完全不一致（完全是不同的视频风格，没有任何目标风格的特征）,2：视频表现出一部分目标风格的特征,3：完全一致",,,,,
A glass bottle stays fixed on the kitchen counter.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
